Player,Matches Played,Innings Bowled,Balls,Overs,Maidens Earned,Runs Conceded,Wickets,Bowling Average,Economy Rate,Bowling Strike Rate,Four Wickets in an Innings,Five Wickets in an Innings
GJ Maxwell (AUS),7,5,72,12,0,103,3,34.33,8.58,24,0,0
MA Wood (ENG),5,5,78,13,0,113,3,37.66,8.69,26,0,0
SM Curran (ENG),5,5,72,12,0,115,3,38.33,9.58,24,0,0
BFW de Leede (NED),4,4,83,13.5,1,119,3,39.66,8.6,27.66,0,0
Shakib Al Hasan (BAN),7,6,104,17.2,0,130,3,43.33,7.5,34.66,0,0
Ali Khan (USA),6,6,116,19.2,0,181,3,60.33,9.36,38.66,0,0
R Ravindra (NZ),3,1,18,3,1,9,2,4.5,3,9,0,0
BJ Currie (SCOT),2,1,24,4,0,16,2,8,4,12,0,0
B White (IRE),2,2,18,3,0,17,2,8.5,5.66,9,0,0
RK Paudel (NEP),3,1,24,4,0,20,2,10,5,12,0,0
MD Shanaka (SL),3,3,30,5,1,27,2,13.5,5.4,15,0,0
IS Sodhi (NZ),1,1,22,3.4,0,29,2,14.5,7.9,11,0,0
CN Greaves (SCOT),4,3,30,5,0,30,2,15,6,15,0,0
CA Young (IRE),1,1,24,4,0,32,2,16,8,12,0,0
F Nsubuga (UGA),2,2,42,7,2,33,2,16.5,4.71,21,0,0
KV Morea (PNG),2,2,32,5.2,0,34,2,17,6.37,16,0,0
S Lamichhane (NEP),2,2,48,8,1,35,2,17.5,4.37,24,0,0
MJ Henry (NZ),1,1,24,4,0,37,2,18.5,9.25,12,0,0
C Campher (IRE),3,3,42,7,0,39,2,19.5,5.57,21,0,0
SI Kamea (PNG),2,2,36,6,0,39,2,19.5,6.5,18,0,0
J Miyagi (UGA),3,3,56,9.2,0,56,2,28,6,28,0,0
