Player,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Innings Score,Batting Average,Balls Faced,Batting Strike Rate,Hundreds Scored,Fifties Scored,Ducks Scored,Boundary Fours,Boundary Sixes
Shakib Al Hasan (BAN),7,7,1,111,64*,18.5,104,106.73,0,1,1,12,1
Azmatullah Omarzai (AFG),8,8,0,111,26,13.87,102,108.82,0,0,0,7,4
Mohammad Rizwan (PAK),4,4,1,110,53*,36.66,121,90.9,0,1,0,5,3
JM Bairstow (ENG),8,6,2,110,48*,27.5,82,134.14,0,0,1,11,4
SD Hope (WI),3,3,1,107,82*,53.5,57,187.71,0,1,1,4,10
RD Berrington (SCOT),4,3,2,102,47*,102,73,139.72,0,0,0,4,5
MG Erasmus (NAM),4,4,1,102,52,34,93,109.67,0,1,0,10,3
R Powell (WI),7,6,0,102,36,17,71,143.66,0,0,0,4,8
NR Kirton (CAN),3,3,0,101,51,33.66,72,140.27,0,1,0,6,4
NR Kumar (USA),6,5,1,99,30,24.75,86,115.11,0,0,0,6,4
SA Engelbrecht (NED),4,4,0,98,40,24.5,92,106.52,0,0,0,6,3
Mahmudullah (BAN),7,7,1,95,25,15.83,101,94.05,0,0,0,8,3
RL Chase (WI),6,3,1,94,52,47,72,130.55,0,1,1,7,4
Ayaan Khan (OMA),4,4,1,93,41*,31,95,97.89,0,0,0,6,3
AR Patel (IND),8,5,1,92,47,23,66,139.39,0,0,0,5,6
Gulbadin Naib (AFG),8,8,1,90,49*,12.85,86,104.65,0,0,2,9,3
A Johnson (CAN),3,3,0,89,52,29.66,73,121.91,0,1,0,12,4
MA Jones (SCOT),4,4,1,89,45*,29.66,66,134.84,0,0,0,8,5
BA King (WI),5,5,1,86,34,21.5,68,126.47,0,0,0,13,2
MP O'Dowd (NED),4,4,1,79,54*,26.33,78,101.28,0,1,0,7,2
AD Russell (WI),7,6,3,78,30*,26,47,165.95,0,0,0,8,4
Tanzid Hasan (BAN),7,7,0,76,35,10.85,79,96.2,0,0,3,11,1
BKG Mendis (SL),3,3,0,75,46,25,67,111.94,0,0,0,8,0
SR Taylor (USA),6,6,0,74,24,12.33,82,90.24,0,0,1,7,3
LS Livingstone (ENG),8,4,0,72,33,18,49,146.93,0,0,0,3,5
KIC Asalanka (SL),3,3,0,71,46,23.66,51,139.21,0,0,0,1,6
NS Dhaliwal (CAN),3,3,0,71,61,23.66,61,116.39,0,1,0,8,3
S Movva (CAN),3,3,1,71,37,35.5,61,116.39,0,0,0,5,2
K Doriga (PNG),4,4,1,71,27*,23.66,77,92.2,0,0,0,6,1
SA Edwards (NED),4,4,0,71,31,17.75,64,110.93,0,0,0,5,2
MM Ali (ENG),8,5,0,71,25,14.2,51,139.21,0,0,0,2,5
DP Conway (NZ),4,4,1,70,35,23.33,65,107.69,0,0,0,7,3
Harmeet Singh (USA),6,4,0,69,38,17.25,50,138,0,0,1,4,5
S Bau (PNG),4,4,0,67,50,16.75,80,83.75,0,1,1,8,1
Vikramjit Singh (NED),4,4,0,67,26,16.75,71,94.36,0,0,0,5,3
MD Patel (USA),2,2,0,66,50,33,54,122.22,0,1,0,9,1
CJ Anderson (USA),6,5,1,66,29,16.5,72,91.66,0,0,0,1,3
N Davin (NAM),4,4,0,64,24,16,66,96.96,0,0,0,7,2
Aasif Sheikh (NEP),3,3,0,63,42,21,71,88.73,0,0,0,9,1
AD Mathews (SL),3,3,1,62,30*,31,50,124,0,0,0,2,4
TH David (AUS),7,5,1,61,24*,15.25,41,148.78,0,0,0,5,3
GJ Delany (IRE),3,3,0,60,31,20,40,150,0,0,0,3,5
PS Athavale (OMA),3,3,0,59,54,19.66,44,134.09,0,1,1,6,2
GD Phillips (NZ),4,2,0,58,40,29,51,113.72,0,0,0,5,2
JN Frylinck (NAM),4,3,0,58,45,19.33,68,85.29,0,0,0,8,0
Rashid Khan (AFG),8,7,2,57,19*,11.4,46,123.91,0,0,0,5,4
Mohammad Nabi (AFG),8,8,3,56,16*,11.2,70,80,0,0,2,3,1
DM de Silva (SL),2,2,0,55,34,27.5,52,105.76,0,0,0,4,1
MR Adair (IRE),3,3,0,52,34,17.33,45,115.55,0,0,0,5,1
D Wiese (NAM),4,4,1,51,27,17,40,127.5,0,0,0,2,4
P Nissanka (SL),3,3,0,50,47,16.66,38,131.57,0,0,1,7,1
M Levitt (NED),4,4,0,50,31,12.5,45,111.11,0,0,1,4,4
Riazat Ali Shah (UGA),4,4,0,49,33,12.25,111,44.14,0,0,0,1,0
Khalid Kail (OMA),4,4,0,48,34,12,61,78.68,0,0,0,2,1
Mehran Khan (OMA),4,4,0,47,27,11.75,36,130.55,0,0,1,4,2
GH Dockrell (IRE),3,3,1,44,30*,22,38,115.78,0,0,0,4,1
Shadab Khan (PAK),4,3,0,44,40,14.66,34,129.41,0,0,1,1,3
M van Lingen (NAM),3,3,0,43,33,14.33,41,104.87,0,0,1,3,3
Karim Janat (AFG),7,5,2,43,14,14.33,38,113.15,0,0,0,2,2
Aqib Ilyas (OMA),4,4,0,42,18,10.5,35,120,0,0,1,5,2
MA Leask (SCOT),4,2,0,40,35,20,25,160,0,0,0,0,4
Rishad Hossain (BAN),7,6,1,40,24,8,26,153.84,0,0,1,2,4
AK Sah (NEP),3,3,0,38,27,12.66,38,100,0,0,1,5,1
Kushal Malla (NEP),3,3,0,37,27,12.33,52,71.15,0,0,0,2,1
JB Little (IRE),3,2,1,36,22*,36,31,116.12,0,0,0,4,1
DJ Mitchell (NZ),4,3,1,36,19*,18,30,120,0,0,0,5,0
MH Cross (SCOT),4,3,1,36,18,18,24,150,0,0,0,1,3
Shaheen Shah Afridi (PAK),4,3,3,36,23*,0,22,163.63,0,0,0,1,4
RK Paudel (NEP),3,3,0,36,35,12,45,80,0,0,1,5,0
KR Mayers (WI),1,1,0,35,35,35,34,102.94,0,0,0,3,2
Jaker Ali (BAN),4,4,1,35,14*,11.66,46,76.08,0,0,0,3,0
FH Allen (NZ),4,4,0,35,26,8.75,43,81.39,0,0,2,4,1
RA Jadeja (IND),8,5,2,35,17*,11.66,22,159.09,0,0,1,3,1
CJA Amini (PNG),3,3,0,34,17,11.33,53,64.15,0,0,0,2,0
Fakhar Zaman (PAK),4,4,0,33,13,8.25,30,110,0,0,0,1,2
PHKD Mendis (SL),3,3,0,32,17,10.66,40,80,0,0,0,3,1
DS Airee (NEP),3,3,0,32,25,10.66,48,66.66,0,0,0,2,1
M Jansen (SA),9,6,2,32,21*,8,33,96.96,0,0,1,1,1
A Vala (PNG),4,4,0,30,21,7.5,42,71.42,0,0,1,3,1
SC van Schalkwyk (USA),4,3,2,29,18,29,27,107.4,0,0,0,4,0
ZE Green (NAM),4,3,0,29,28,9.66,33,87.87,0,0,1,1,1
KS Williamson (NZ),4,3,1,28,18*,14,32,87.5,0,0,0,3,0
Taskin Ahmed (BAN),6,5,3,28,13*,14,33,84.84,0,0,1,3,0
MS Wade (AUS),7,4,2,27,17*,13.5,24,112.5,0,0,0,3,0
Zeeshan Maqsood (OMA),4,4,0,27,22,6.75,36,75,0,0,0,4,0
J Miyagi (UGA),3,3,1,26,13*,13,37,70.27,0,0,1,0,0
MJ Santner (NZ),4,2,1,25,21*,25,20,125,0,0,0,0,3
A Dutt (NED),2,2,1,25,15*,25,20,125,0,0,0,2,1
LV van Beek (NED),4,3,0,25,23,8.33,26,96.15,0,0,1,3,0
Pargat Singh (CAN),3,3,0,25,18,8.33,27,92.59,0,0,0,2,0
Shakeel Ahmed (OMA),3,3,1,25,11,12.5,21,119.04,0,0,0,3,0
H Hiri (PNG),4,4,0,25,15,6.25,39,64.1,0,0,0,3,0
K Bhurtel (NEP),3,3,0,24,13,8,39,61.53,0,0,0,3,1
CA Soper (PNG),4,4,0,24,10,6,52,46.15,0,0,0,1,0
Milind Kumar (USA),2,2,0,23,19,11.5,27,85.18,0,0,0,1,0
Iftikhar Ahmed (PAK),2,2,0,23,18,11.5,23,100,0,0,0,3,0
Saim Ayub (PAK),2,2,0,23,17,11.5,29,79.31,0,0,0,2,1
C Campher (IRE),3,3,0,23,12,7.66,29,79.31,0,0,0,2,1
R Shepherd (WI),4,3,2,23,13,23,25,92,0,0,0,1,1
JC Archer (ENG),8,2,1,22,21,22,17,129.41,0,0,0,1,2
A Balbirnie (IRE),3,3,0,22,17,7.33,32,68.75,0,0,1,2,0
LJ Tucker (IRE),3,3,0,22,10,7.33,30,73.33,0,0,0,2,0
Najibullah Zadran (AFG),5,4,1,22,19,7.33,23,95.65,0,0,1,0,2
JJ Smit (NAM),4,4,1,22,11,7.33,30,73.33,0,0,0,1,1
AJ Hosein (WI),7,2,0,21,15,10.5,28,75,0,0,0,1,1
A Nao (PNG),4,4,0,21,13,5.25,32,65.62,0,0,1,2,0
R Obuya (UGA),4,4,0,21,14,5.25,36,58.33,0,0,1,1,1
PW Hasaranga (SL),3,3,1,20,20*,10,9,222.22,0,0,2,1,2
Gulsan Jha (NEP),3,3,0,20,14,6.66,25,80,0,0,1,1,1
BFW de Leede (NED),4,4,1,20,11*,6.66,33,60.6,0,0,1,1,0
Usman Khan (PAK),4,4,1,20,13,6.66,22,90.9,0,0,0,1,0
Imad Wasim (PAK),3,2,0,19,15,9.5,29,65.51,0,0,0,2,0
N Vanua (PNG),3,3,0,19,14,6.33,30,63.33,0,0,1,1,1
K Waiswa (UGA),3,3,1,19,11,9.5,44,43.18,0,0,0,2,0
DS Bajwa (CAN),2,2,0,18,11,9,14,128.57,0,0,0,2,1
Karan KC (NEP),2,1,0,17,17,17,12,141.66,0,0,0,0,2
Abbas Afridi (PAK),1,1,0,17,17,17,21,80.95,0,0,0,1,1
